Function Name,Description
LEFTB,LEFTB: Text:Returns the leftmost characters from a text value
LEN,LEN: Text:Returns the number of characters in a text string
LENB,LENB: Text:Returns the number of characters in a text string
LET,LET: Logical:Assigns names to calculation results
LINEST,LINEST: Statistical:Returns the parameters of a linear trend
LN,LN: Math and trigonometry:Returns the natural logarithm of a number
LOG,LOG: Math and trigonometry:Returns the logarithm of a number to a specified base
LOG10,LOG10: Math and trigonometry:Returns the base-10 logarithm of a number
LOGEST,LOGEST: Statistical:Returns the parameters of an exponential trend
LOGINV,LOGINV: Compatibility:Returns the inverse of the lognormal cumulative distribution
LOGNORM.DIST,LOGNORM.DIST: Statistical:Returns the cumulative lognormal distribution
LOGNORMDIST,LOGNORMDIST: Compatibility:Returns the cumulative lognormal distribution
LOGNORM.INV,LOGNORM.INV: Statistical:Returns the inverse of the lognormal cumulative distribution
LOOKUP,LOOKUP: Lookup and reference:Looks up values in a vector or array
LOWER,LOWER: Text:Converts text to lowercase
MAKEARRAY,"MAKEARRAY: Logical:Returns a calculated array of a specified row and column size, by applying a LAMBDA"
MAP,MAP: Logical:Returns an array formed by mapping each value in the array(s) to a new value by applying a LAMBDA to create a new value
MATCH,MATCH: Lookup and reference:Looks up values in a reference or array
MAX,MAX: Statistical:Returns the maximum value in a list of arguments
MAXA,"MAXA: Statistical:Returns the maximum value in a list of arguments, including numbers, text, and logical values"
MAXIFS,MAXIFS: Statistical:Returns the maximum value among cells specified by a given set of conditions or criteria
MDETERM,MDETERM: Math and trigonometry:Returns the matrix determinant of an array
MDURATION,MDURATION: Financial:Returns the Macauley modified duration for a security with an assumed par value of $100
MEDIAN,MEDIAN: Statistical:Returns the median of the given numbers
MID,MID: Text:Returns a specific number of characters from a text string starting at the position you specify
MIDB,MIDB: Text:Returns a specific number of characters from a text string starting at the position you specify
MIN,MIN: Statistical:Returns the minimum value in a list of arguments
MINIFS,MINIFS: Statistical:Returns the minimum value among cells specified by a given set of conditions or criteria.
MINA,"MINA: Statistical:Returns the smallest value in a list of arguments, including numbers, text, and logical values"
MINUTE,MINUTE: Date and time:Converts a serial number to a minute
MINVERSE,MINVERSE: Math and trigonometry:Returns the matrix inverse of an array
MIRR,MIRR: Financial:Returns the internal rate of return where positive and negative cash flows are financed at different rates
MMULT,MMULT: Math and trigonometry:Returns the matrix product of two arrays
MOD,MOD: Math and trigonometry:Returns the remainder from division
MODE,MODE: Compatibility:Returns the most common value in a data set
MODE.MULT,"MODE.MULT: Statistical:Returns a vertical array of the most frequently occurring, or repetitive values in an array or range of data"
MODE.SNGL,MODE.SNGL: Statistical:Returns the most common value in a data set
MONTH,MONTH: Date and time:Converts a serial number to a month
MROUND,MROUND: Math and trigonometry:Returns a number rounded to the desired multiple
MULTINOMIAL,MULTINOMIAL: Math and trigonometry:Returns the multinomial of a set of numbers
MUNIT,MUNIT: Math and trigonometry:Returns the unit matrix or the specified dimension
N,N: Information:Returns a value converted to a number
NA,NA: Information:Returns the error value #N/A
NEGBINOM.DIST,NEGBINOM.DIST: Statistical:Returns the negative binomial distribution
NEGBINOMDIST,NEGBINOMDIST: Compatibility:Returns the negative binomial distribution
NETWORKDAYS,NETWORKDAYS: Date and time:Returns the number of whole workdays between two dates
NETWORKDAYS.INTL,NETWORKDAYS.INTL: Date and time:Returns the number of whole workdays between two dates using parameters to indicate which and how many days are weekend days
NOMINAL,NOMINAL: Financial:Returns the annual nominal interest rate
NORM.DIST,NORM.DIST: Statistical:Returns the normal cumulative distribution
NORMDIST,NORMDIST: Compatibility:Returns the normal cumulative distribution
NORMINV,NORMINV: Statistical:Returns the inverse of the normal cumulative distribution
NORM.INV,NORM.INV: Compatibility:Returns the inverse of the normal cumulative distribution
NORM.S.DIST,NORM.S.DIST: Statistical:Returns the standard normal cumulative distribution
NORMSDIST,NORMSDIST: Compatibility:Returns the standard normal cumulative distribution
NORM.S.INV,NORM.S.INV: Statistical:Returns the inverse of the standard normal cumulative distribution
NORMSINV,NORMSINV: Compatibility:Returns the inverse of the standard normal cumulative distribution
NOT,NOT: Logical:Reverses the logic of its argument
NOW,NOW: Date and time:Returns the serial number of the current date and time
NPER,NPER: Financial:Returns the number of periods for an investment
NPV,NPV: Financial:Returns the net present value of an investment based on a series of periodic cash flows and a discount rate
NUMBERVALUE,NUMBERVALUE: Text:Converts text to number in a locale-independent manner
OCT2BIN,OCT2BIN: Engineering:Converts an octal number to binary
OCT2DEC,OCT2DEC: Engineering:Converts an octal number to decimal
OCT2HEX,OCT2HEX: Engineering:Converts an octal number to hexadecimal
ODD,ODD: Math and trigonometry:Rounds a number up to the nearest odd integer
ODDFPRICE,ODDFPRICE: Financial:Returns the price per $100 face value of a security with an odd first period
ODDFYIELD,ODDFYIELD: Financial:Returns the yield of a security with an odd first period
ODDLPRICE,ODDLPRICE: Financial:Returns the price per $100 face value of a security with an odd last period
ODDLYIELD,ODDLYIELD: Financial:Returns the yield of a security with an odd last period
OFFSET,OFFSET: Lookup and reference:Returns a reference offset from a given reference
OR,OR: Logical:Returns TRUE if any argument is TRUE
PDURATION,PDURATION: Financial:Returns the number of periods required by an investment to reach a specified value
PEARSON,PEARSON: Statistical:Returns the Pearson product moment correlation coefficient
PERCENTILE.EXC,"PERCENTILE.EXC: Statistical:Returns the k-th percentile of values in a range, where k is in the range 0..1, exclusive"
PERCENTILE.INC,PERCENTILE.INC: Statistical:Returns the k-th percentile of values in a range
PERCENTILE,PERCENTILE: Compatibility:Returns the k-th percentile of values in a range
PERCENTOF,PERCENTOF: Math and trigonometry:Sums the values in the subset and divides it by all the values
(Microsoft 365),(Microsoft 365): Math and trigonometry:Sums the values in the subset and divides it by all the values
PERCENTRANK.EXC,"PERCENTRANK.EXC: Statistical:Returns the rank of a value in a data set as a percentage (0..1, exclusive) of the data set"
PERCENTRANK.INC,PERCENTRANK.INC: Statistical:Returns the percentage rank of a value in a data set
PERCENTRANK,PERCENTRANK: Compatibility:Returns the percentage rank of a value in a data set
